Id,Name,LandfallDate,MaxWindSpeed
AL121988,KEITH,1988-11-23,65
AL141988,UNNAMED,1988-08-14,30
AL151990,MARCO,1990-10-12,55
AL011991,ANA,1991-07-02,45
AL041992,ANDREW,1992-08-24,150
AL011994,ALBERTO,1994-07-03,55
AL031994,BERYL,1994-08-16,50
AL121994,GORDON,1994-11-21,75
AL011995,ALLISON,1995-06-05,65
AL051995,ERIN,1995-08-03,85
AL111995,JERRY,1995-08-25,35
AL171995,OPAL,1995-10-04,130
AL101996,JOSEPHINE,1996-10-08,60
AL051998,EARL,1998-09-03,85
AL071998,GEORGES,1998-10-01,135
AL131998,MITCH,1998-11-05,155
AL101999,HARVEY,1999-09-21,50
AL131999,IRENE,1999-10-16,95
AL112000,GORDON,2000-09-18,70
AL122000,HELENE,2000-09-22,60
AL162000,LESLIE,2000-10-04,60
AL032001,BARRY,2001-08-06,60
AL082001,GABRIELLE,2001-09-15,70
AL052002,EDOUARD,2002-09-05,55
AL122003,HENRI,2003-09-06,50
AL022004,BONNIE,2004-08-12,55
AL032004,CHARLEY,2004-08-14,130
AL062004,FRANCES,2004-09-06,125
AL092004,IVAN,2004-09-21,145
AL112004,JEANNE,2004-09-27,105
AL042005,DENNIS,2005-07-10,130
AL122005,KATRINA,2005-08-26,150
AL222005,TAMMY,2005-10-07,45
AL252005,WILMA,2005-10-24,160
AL012006,ALBERTO,2006-06-13,60
AL062006,ERNESTO,2006-08-31,65
AL022007,BARRY,2007-06-02,50
AL102007,TEN,2007-09-22,30
AL062008,FAY,2008-08-24,60
AL042009,CLAUDETTE,2009-08-17,50
AL112009,IDA,2009-11-11,90
AL032010,BONNIE,2010-07-23,40
AL052010,FIVE,2010-08-16,30
AL022012,BERYL,2012-05-29,60
AL042012,DEBBY,2012-06-27,55
AL012013,ANDREA,2013-06-07,55
AL032016,COLIN,2016-06-07,50
AL092016,HERMINE,2016-09-02,70
AL112016,JULIA,2016-09-14,45
AL062017,EMILY,2017-08-01,50
AL112017,IRMA,2017-09-11,155
AL012018,ALBERTO,2018-05-29,55
AL072018,GORDON,2018-09-03,60
AL142018,MICHAEL,2018-10-10,140
AL162019,NESTOR,2019-10-19,50
AL062020,FAY,2020-07-06,50
AL192020,SALLY,2020-09-12,95
AL292020,ETA,2020-11-12,130
AL052021,ELSA,2021-07-07,75
AL062021,FRED,2021-08-17,55
AL132021,MINDY,2021-09-09,50
AL012022,ALEX,2022-06-04,60
AL092022,IAN,2022-09-29,140
AL172022,NICOLE,2022-11-11,65
AL102023,IDALIA,2023-08-30,115
AL042024,DEBBY,2024-08-05,70
AL092024,HELENE,2024-09-27,120
AL142024,MILTON,2024-10-10,155
