Id,Name,LandfallDate,MaxWindSpeed
AL011953,ALICE,1953-06-06,60
AL081953,UNNAMED,1953-09-20,45
AL091953,FLORENCE,1953-09-26,100
AL121953,HAZEL,1953-10-09,75
AL071956,FLOSSY,1956-09-25,80
AL111956,UNNAMED,1956-10-15,55
AL011957,UNNAMED,1957-06-09,65
AL051957,DEBBIE,1957-09-08,35
AL031959,UNNAMED,1959-06-18,75
AL111959,JUDITH,1959-10-18,75
AL031960,BRENDA,1960-07-29,60
AL051960,DONNA,1960-09-10,125
AL051964,CLEO,1964-08-27,130
AL061964,DORA,1964-09-10,115
AL111964,ISBELL,1964-10-14,100
AL011965,UNNAMED,1965-06-15,50
AL031965,BETSY,1965-09-08,120
AL091965,UNNAMED,1965-10-18,55
AL011966,ALMA,1966-06-09,100
AL091966,INEZ,1966-10-05,140
AL121966,UNNAMED,1966-07-01,40
AL011968,ABBY,1968-06-06,65
AL141968,GLADYS,1968-10-19,85
AL231969,UNNAMED,1969-10-01,50
AL241969,JENNY,1969-10-02,40
AL021970,BECKY,1970-07-22,55
AL041983,BARRY,1983-08-25,70
AL111985,ISABEL,1985-10-10,60
AL131985,KATE,1985-11-21,105
AL131987,FLOYD,1987-10-12,65
AL121988,KEITH,1988-11-23,65
AL041992,ANDREW,1992-08-24,150
AL011994,ALBERTO,1994-07-03,55
AL031994,BERYL,1994-08-16,50
AL121994,GORDON,1994-11-21,75
AL011995,ALLISON,1995-06-05,65
AL051995,ERIN,1995-08-03,85
AL111995,JERRY,1995-08-23,35
AL171995,OPAL,1995-10-04,130
AL101996,JOSEPHINE,1996-10-08,60
AL051998,EARL,1998-09-03,85
AL071998,GEORGES,1998-09-25,135
AL131998,MITCH,1998-11-05,155
AL101999,HARVEY,1999-09-21,50
AL131999,IRENE,1999-10-15,95
AL112000,GORDON,2000-09-18,70
AL122000,HELENE,2000-09-22,60
AL032001,BARRY,2001-08-06,60
AL082001,GABRIELLE,2001-09-14,70
AL052002,EDOUARD,2002-09-05,55
AL122003,HENRI,2003-09-06,50
AL022004,BONNIE,2004-08-12,55
AL032004,CHARLEY,2004-08-13,130
AL062004,FRANCES,2004-09-06,125
AL112004,JEANNE,2004-09-26,105
AL042005,DENNIS,2005-07-10,130
AL122005,KATRINA,2005-08-25,150
AL222005,TAMMY,2005-10-05,45
AL252005,WILMA,2005-10-24,160
AL012006,ALBERTO,2006-06-13,60
AL062006,ERNESTO,2006-08-30,65
AL022007,BARRY,2007-06-02,50
AL102007,TEN,2007-09-22,30
AL062008,FAY,2008-08-23,60
AL042009,CLAUDETTE,2009-08-17,50
AL032010,BONNIE,2010-07-23,40
AL022012,BERYL,2012-05-28,60
AL042012,DEBBY,2012-06-26,55
AL012013,ANDREA,2013-06-06,55
AL032016,COLIN,2016-06-07,50
AL092016,HERMINE,2016-09-02,70
AL112016,JULIA,2016-09-13,45
AL062017,EMILY,2017-07-31,50
AL112017,IRMA,2017-09-10,155
AL012018,ALBERTO,2018-05-28,55
AL072018,GORDON,2018-09-03,60
AL142018,MICHAEL,2018-10-10,140
AL192020,SALLY,2020-09-12,95
AL292020,ETA,2020-11-12,130
AL052021,ELSA,2021-07-07,75
AL062021,FRED,2021-08-16,55
AL132021,MINDY,2021-09-09,50
AL092022,IAN,2022-09-28,140
AL172022,NICOLE,2022-11-11,65
AL102023,IDALIA,2023-08-30,115
AL042024,DEBBY,2024-08-05,70
AL092024,HELENE,2024-09-27,120
AL142024,MILTON,2024-10-10,155
